,in_reply_to_user_id_str,full_text,id,in_reply_to_screen_name,in_reply_to_user_id,source_url,in_reply_to_status_id_str,favorite_count,lang,source,retweet_count,id_str,in_reply_to_status_id,user,created_time
249,,"#vegan update: probably gonna try it for a month, mostly out of curiosity. then... bacon.",32573137325391872,,,http://twitter.com,,0,en,Twitter Web Client,0,32573137325391872,,thesarahdanger,2011-02-01 22:56:55
250,22569116,aahh! RT @jessicavogel Girl on Oprah admitted before going vegan she'd only poop 1x / week. How does O get people to say these things on TV?,32573328250118144,jessicavogel,22569116.0,http://twitter.com,32570928361635840,0,en,Twitter Web Client,0,32573328250118144,3.257092836163584e+16,EndlessSimmer,2011-02-01 22:57:41
251,,RT @PCRM: Dietary Guidelines for Americans back #vegetarian & #vegan diets to fight #obesity! http://ow.ly/3Nm1c,32571340795936769,,,https://about.twitter.com/products/tweetdeck,,1,en,TweetDeck,1,32571340795936769,,ScottJurek,2011-02-01 22:49:47
252,,I feel horrible! I'm watching @Oprah about becoming Vegan while making pork chops for dinner.,32571707965313024,,,http://blackberry.com/twitter,,0,en,Twitter for BlackBerry®,0,32571707965313024,,kandielashes,2011-02-01 22:51:14
253,,RT @veganpimp Excited about @Oprah vegan show 2day Lots positive Some disheartening There's still lots of vegucating to be done!,32573420000509953,,,http://twitter.com,,0,en,Twitter Web Client,0,32573420000509953,,vegansumer,2011-02-01 22:58:03
254,,"Want an easy vegan country gravy? Yes, you do! This new one is super fantastic: http://bit.ly/guiTZP",32573373443743744,,,http://www.brizzly.com,,3,en,Brizzly,1,32573373443743744,,VegWeb,2011-02-01 22:57:52
255,,Kudos to these real men: http://www.nytimes.com/2006/03/26/national/26vegan.html?_r=1 #health #lifesaving #vegan #food,32571121173798912,,,http://twitter.com,,0,es,Twitter Web Client,0,32571121173798912,,thejoshtorres,2011-02-01 22:48:55
256,,Vegan Oprah Show: http://t.co/RMVHl19 (A Vegan kid's view of the show),32572594527932416,,,https://dev.twitter.com/docs/tfw,,0,en,Twitter for Websites,1,32572594527932416,,TheVeganMom,2011-02-01 22:54:46
257,,"@ITSJACKBBITCH I've been vegan for well over a year now :D I don't want to. When I meet Andy, I want to be able to say I'm still a vegan &lt;3",32572647527153664,,,http://twitter.com,,0,en,Twitter Web Client,0,32572647527153664,,PatrickStvmp,2011-02-01 22:54:58
258,,Bout to get on this Oprah Vegan Diet...well thats what imma tell yall. Im bout to spend my rent and grocery money on a real big Fendi bag.,32572210581344256,,,http://twidroyd.com,,0,en,twidroyd (original),0,32572210581344256,,iammichelerenee,2011-02-01 22:53:14
259,59449288,@FlatoutBread When I lived in CO I went to a vegan restaurant in Boulder and I have to say I didn't like anything I tried.,32571932951977984,FlatoutBread,59449288.0,https://about.twitter.com/products/tweetdeck,32571778832277505,0,en,TweetDeck,0,32571932951977984,3.2571778832277504e+16,SundayStilwell,2011-02-01 22:52:08
260,,Excited about @Oprah vegan show 2day Lots positive Some disheartening There's still lots of vegucating to be done!,32572953052844033,,,http://twitter.com,,0,en,Twitter Web Client,0,32572953052844033,,BigCityVegan,2011-02-01 22:56:11
261,,happy 1st vegan anniversary 2 me! i'll b drinking sauvignon blanc w/ lunch & toasting 2 many more veganniversaries 2 come =),32572655504723968,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32572655504723968,,miss_neeta,2011-02-01 22:55:00
262,,Had 2 watch th #oprah #vegan show somewhere else & I couldn't tweet. Not real impressed w/ #oprah or @pollan. Cargill was the only expert!,32572737763414016,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,1,32572737763414016,,JennyDiOrio,2011-02-01 22:55:20
263,,I may try some #vegan options one day. #Oprah,32572440735387648,,,http://www.hootsuite.com,,0,en,Hootsuite,0,32572440735387648,,CICinspireme,2011-02-01 22:54:09
264,48305121,@chubby_vegan Manda um bocado dessas castanhas então... BWUAHAUHA,32571197233303552,chubbyvegan,48305121.0,http://twitter.com,32570965560918016,0,pt,Twitter Web Client,0,32571197233303552,3.2570965560918016e+16,Alonsobh,2011-02-01 22:49:13
265,227835114,@Easternhit welcome to Twitter! Looking forward to some tweetliedeetilliedeets! &lt;3 your biggest vegan fan!,32572039902535680,Easternhit,227835114.0,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32572039902535680,,oniononiononion,2011-02-01 22:52:34
266,,"While I watch the @Oprah show on becoming vegan, @rvandersteen is heading out into the blizzard JUST to buy chicken for our dinner ;)",32572896056451074,,,http://twitter.com,,0,en,Twitter Web Client,0,32572896056451074,,nursekelsey,2011-02-01 22:55:58
267,,"I could never be a vegan. I love my animal friends, but I also love their food products.",32571265621430272,,,http://www.cloudhopper.com/,,0,en,Twitter SMS,1,32571265621430272,,cassimama,2011-02-01 22:49:29
268,,Loving the positive vegan vibes from this lady on oprah. She's smart :),32572166461464576,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32572166461464576,,JasmineAmellie,2011-02-01 22:53:04
269,,My grandma is making vegan peach cobbler. Mmm :) smells awesome,32572243666018306,,,http://www.cloudhopper.com/,,0,en,Twitter SMS,0,32572243666018306,,just_corri,2011-02-01 22:53:22
270,,Does going vegan mean eating only ramen  noodles all day?,32571700289736704,,,http://getscopeapp.com,,0,en,Scope App,0,32571700289736704,,JenniLoLo,2011-02-01 22:51:13
271,,I think it's funny that I'm watching the Oprah Vegan Challenge while I cook sloppy joes!,32572486025478144,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,0,32572486025478144,,_ChelseaMac,2011-02-01 22:54:20
272,26757925,@scottjurek are you watching Oprah's vegan special? Thoughts?,32572323076767744,ScottJurek,26757925.0,http://www.echofon.com/,,0,en,Echofon,0,32572323076767744,,GutToCutWL,2011-02-01 22:53:41
273,,"can't do the vegan challenge! there is no substitute for neck bones,  wtf is vegan mac n cheese; Hell soul food would be gone! no ma'am",32571541745049601,,,http://twitter.com,,0,en,Twitter Web Client,0,32571541745049601,,MLukas82,2011-02-01 22:50:35
274,,anxious for Oprah to start. She discusses going vegan today!,32571812709670912,,,http://twitter.com,,0,en,Twitter Web Client,0,32571812709670912,,twitneyw87,2011-02-01 22:51:39
275,,Wifey was watching #oprah today....now she wants to try a vegan day. I'm game to try it.,32573304476794881,,,http://twitter.com,,0,en,Twitter Web Client,0,32573304476794881,,IAmLifeSkills,2011-02-01 22:57:35
276,,RT @dennis_q: It was a real challenge for me to keep eating meat. Not a challenge at all to be Vegan. Fuck Oprah. Fuck you.,32573099744432129,,,http://www.hootsuite.com,,0,en,Hootsuite,0,32573099744432129,,RLAMultimedia,2011-02-01 22:56:46
277,,I think I'm going to try and go vegan! !!!,32571506189930496,,,http://twitter.com/download/android,,0,en,Twitter for Android,0,32571506189930496,,MainlyMyself,2011-02-01 22:50:26
278,,"No, your average Oprah viewer can't go to Whole Foods and get a full cart of vegan products--either because of money or distance.",32571739468726273,,,http://itunes.apple.com/us/app/twitter/id409789998?mt=12,,0,en,Twitter for Mac,0,32571739468726273,,Goldni,2011-02-01 22:51:22
279,,"Careful, #agchat, that tonight's convo doesn't turn to 'turning' #vegan back. Approach should be to convo w/ interested fence sitters",32571655419072512,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,2,32571655419072512,,agchick,2011-02-01 22:51:02
